signal_strength,movement_speed,encryption_match,unidentified_object,border_distance,location_risk,time_of_day,previous_incident,risk_level
91,180,1,0,236,1,1,0,Medium
81,45,0,0,97,3,0,0,Medium
95,124,1,0,14,2,2,0,High
81,89,0,1,287,1,0,0,Medium
63,60,1,1,243,3,1,1,Medium
59,59,0,1,266,3,2,0,Medium
94,15,0,0,353,3,2,1,Medium
65,133,1,0,256,2,0,1,Medium
66,33,1,1,464,1,1,1,Medium
28,164,0,0,106,3,0,0,Medium
22,80,1,0,377,1,1,1,Low
46,169,0,1,232,2,0,1,Medium
50,125,1,0,396,3,1,1,Medium
50,179,0,1,444,2,2,0,Medium
30,138,1,1,336,2,0,1,Medium
83,47,1,0,232,1,0,1,Medium
25,31,1,1,377,2,2,1,Medium
33,177,1,0,193,2,0,0,Low
68,20,1,0,52,1,2,0,Medium
74,136,1,0,232,1,2,0,Medium
85,111,0,1,478,3,1,1,Medium
21,74,0,1,229,1,1,0,Medium
77,80,0,0,217,3,0,1,Medium
26,102,0,0,161,3,2,0,Medium
20,2,0,1,181,3,2,0,Medium
80,128,1,1,357,2,1,0,Medium
56,164,0,0,337,1,0,0,Medium
58,5,0,0,377,2,2,0,Medium
94,145,0,0,196,2,0,1,Medium
39,43,0,0,452,2,1,0,Low
30,29,1,0,104,2,2,1,Low
31,54,1,0,20,2,0,1,Low
22,80,1,1,249,2,0,0,Medium
67,132,1,1,180,2,1,0,Medium
59,124,1,0,265,3,2,1,Medium
35,79,1,0,271,1,0,1,Low
64,127,0,0,149,2,0,1,Medium
49,103,0,1,17,3,2,1,Medium
77,71,1,0,480,2,2,0,Medium
59,117,0,1,212,1,1,0,Medium
52,176,0,0,400,2,0,0,Low
48,158,0,1,101,2,2,0,Medium
83,169,1,0,475,1,1,1,Medium
60,150,1,1,77,2,0,0,Medium
100,93,1,1,384,3,2,1,Medium
38,162,0,0,325,2,0,0,Low
59,165,1,0,305,3,1,0,Medium
50,71,0,0,396,2,1,0,Low
49,116,1,0,282,3,2,1,Medium
53,106,0,1,129,1,0,0,Medium
46,165,1,0,115,2,2,1,Low
22,11,1,0,306,2,2,0,Low
50,33,0,1,211,2,2,0,Medium
74,34,0,1,82,1,1,0,Medium
29,145,0,0,81,3,0,1,Medium
93,109,0,1,321,2,0,0,Medium
50,137,0,1,243,1,0,1,Medium
60,84,1,0,290,2,0,1,Medium
41,153,1,0,451,2,1,0,Low
38,74,1,1,69,2,1,0,Medium
29,146,0,1,231,3,0,1,Medium
56,4,1,1,167,2,0,1,Medium
80,89,1,1,86,2,1,1,Medium
73,26,1,1,211,2,2,1,Medium
90,36,1,1,324,1,2,1,Medium
95,91,0,1,137,2,0,1,Medium
60,135,1,1,229,3,0,0,Medium
63,36,1,1,70,2,1,0,Medium
84,38,0,0,477,1,2,1,Medium
62,34,0,1,186,1,2,1,Medium
32,115,1,1,363,2,2,1,Medium
72,169,1,1,72,3,1,1,Medium
99,44,0,0,112,2,2,1,Medium
70,43,1,1,380,1,2,0,Medium
31,1,1,0,451,2,0,0,Low
89,114,1,0,106,2,1,0,High
66,68,1,0,23,3,0,1,Medium
22,114,0,0,480,1,2,1,Low
24,41,1,0,204,3,2,0,Medium
87,107,0,0,449,3,1,0,Medium
93,36,0,1,48,1,2,0,Medium
62,58,1,1,106,3,1,0,Medium
69,172,1,1,144,3,1,1,Medium
33,173,0,1,142,1,1,0,Medium
79,152,0,1,314,2,0,0,Medium
90,65,1,1,468,2,1,1,Medium
78,147,1,0,486,3,1,1,Medium
22,61,0,1,307,1,1,0,Medium
43,72,0,0,329,1,2,0,Low
34,85,0,1,70,2,1,0,Medium
68,26,0,1,163,1,1,0,Medium
38,32,1,1,241,3,1,1,Medium
77,176,0,1,258,3,2,0,Medium
30,37,0,1,134,2,2,0,Medium
32,178,0,0,222,2,0,1,Low
84,121,0,0,241,3,2,1,Medium
61,170,1,1,191,3,0,0,Medium
61,90,1,0,84,3,0,1,Medium
51,157,1,0,493,3,0,0,Medium
24,161,1,0,324,3,1,1,Medium
39,116,0,1,140,2,1,1,Medium
34,0,1,1,361,2,1,1,Medium
69,106,1,0,489,1,2,0,Medium
36,13,0,1,274,3,1,1,Medium
75,45,0,1,433,1,2,0,Medium
65,112,0,1,131,3,1,1,Medium
75,151,1,0,231,2,2,0,Medium
24,92,0,0,285,2,1,1,Low
26,35,0,0,76,1,2,1,Low
51,67,1,0,78,1,1,1,Low
28,25,1,1,438,2,2,1,Medium
22,61,1,0,194,3,2,1,Medium
39,170,0,1,179,2,1,0,Medium
62,60,1,1,183,3,0,0,Medium
38,164,0,0,284,2,0,0,Low
38,123,1,1,267,2,0,0,Medium
48,147,1,0,123,1,1,0,Low
80,68,0,0,152,1,1,1,Medium
78,16,0,1,367,3,0,0,Medium
60,125,0,0,469,3,1,0,Medium
71,176,1,1,103,2,2,1,Medium
41,106,1,0,445,1,2,0,Low
72,124,0,1,318,2,2,1,Medium
73,133,1,0,129,1,2,0,Medium
63,35,1,1,179,2,1,0,Medium
35,69,1,1,225,2,0,0,Medium
28,149,1,0,227,2,1,1,Low
63,18,0,1,174,2,0,0,Medium
99,171,0,0,432,1,0,0,Medium
61,53,0,0,410,1,2,0,Medium
29,154,1,0,195,1,2,0,Low
24,122,1,1,192,1,2,1,Medium
83,70,0,1,286,2,1,1,Medium
99,104,0,1,312,1,1,1,Medium
73,95,0,1,233,2,0,1,Medium
45,32,1,0,64,2,2,1,Low
21,167,0,1,447,1,1,1,Medium
92,146,1,1,248,1,1,1,Medium
25,164,0,0,372,1,1,0,Low
83,57,1,1,95,2,1,0,High
31,152,1,1,374,1,1,0,Medium
99,120,0,0,486,3,2,1,Medium
88,67,1,1,345,1,0,1,Medium
26,35,0,0,350,3,2,0,Medium
92,31,0,0,51,1,0,0,Medium
21,92,0,1,370,2,1,1,Medium
35,14,0,1,78,1,1,0,Medium
33,99,0,0,82,1,1,1,Low
22,111,0,1,378,1,1,0,Medium
59,145,0,1,377,2,1,1,Medium
42,124,1,1,313,1,1,0,Medium
90,128,1,0,241,1,0,0,Medium
93,23,1,0,267,3,1,0,Medium
29,121,1,1,356,1,1,1,Medium
24,136,1,0,287,1,1,1,Low
50,138,0,1,77,1,2,0,Medium
73,159,0,1,128,3,1,1,Medium
66,173,1,0,267,3,1,0,Medium
53,73,0,0,200,1,1,1,Low
79,143,0,0,105,3,1,1,Medium
79,39,1,0,45,3,2,1,Medium
80,40,1,1,166,2,1,1,Medium
100,169,0,0,180,1,1,1,Medium
39,77,1,0,133,2,0,0,Low
35,128,1,1,261,3,2,1,Medium
60,156,1,1,15,2,0,1,Medium
65,113,0,0,208,2,2,1,Medium
50,13,1,1,318,3,0,0,Medium
78,176,0,1,43,1,1,1,Medium
80,88,0,1,307,3,1,1,Medium
90,115,1,0,297,2,1,1,Medium
21,13,1,1,338,3,2,1,Medium
61,9,0,0,497,1,1,1,Medium
34,45,1,0,134,3,0,1,Medium
53,124,1,0,343,2,1,1,Low
70,39,1,0,180,2,0,1,Medium
61,92,0,1,334,1,2,0,Medium
34,164,0,0,411,2,2,0,Low
68,88,0,0,488,2,1,0,Medium
63,175,0,1,164,1,2,1,Medium
88,85,0,0,399,1,0,0,Medium
21,104,0,0,63,2,1,0,Low
97,25,0,0,162,2,0,1,Medium
25,11,0,1,137,1,1,0,Medium
90,141,1,1,271,2,0,1,Medium
45,169,0,1,245,2,2,1,Medium
62,119,1,1,315,1,0,0,Medium
60,110,1,1,318,1,1,0,Medium
95,80,1,1,122,3,1,0,Medium
48,155,0,0,162,1,0,0,Low
93,111,1,0,77,1,0,1,High
35,105,0,1,160,3,2,1,Medium
25,47,1,0,133,1,2,1,Low
61,34,0,0,125,3,0,0,Medium
77,54,0,0,378,1,0,0,Medium
75,55,1,0,71,3,2,1,Medium
71,85,0,0,21,3,1,1,Medium
99,80,1,0,465,1,1,1,Medium
61,2,1,1,381,2,1,1,Medium
27,25,0,0,391,2,1,0,Low
53,137,0,1,109,1,0,0,Medium
38,33,0,0,364,1,0,1,Low
38,79,1,0,309,2,2,1,Low
93,3,0,0,230,2,0,1,Medium
67,107,0,1,26,2,2,0,Medium
32,61,0,1,282,1,0,1,Medium
51,100,0,1,385,3,2,0,Medium
38,159,1,1,468,3,2,0,Medium
29,92,1,1,398,2,0,0,Medium
29,149,0,0,421,2,2,1,Low
55,54,1,0,29,3,0,1,Medium
37,73,0,0,369,3,0,1,Medium
40,3,1,0,214,2,1,1,Low
58,180,1,1,408,1,2,1,Medium
90,56,1,0,225,1,0,1,Medium
61,62,0,1,52,3,0,1,Medium
28,93,0,0,232,1,2,1,Low
35,109,1,1,456,1,2,1,Medium
25,23,0,0,123,1,2,1,Low
58,127,0,1,305,2,0,1,Medium
79,31,0,0,492,1,0,1,Medium
72,58,1,0,52,3,2,0,Medium
61,10,1,0,305,2,1,0,Medium
78,76,1,1,226,3,2,0,Medium
23,31,0,1,409,2,1,1,Medium
57,35,1,1,113,1,0,0,Medium
71,51,0,0,237,2,2,0,Medium
30,98,1,0,260,2,1,0,Low
96,176,0,1,14,2,2,1,Medium
28,115,0,1,177,2,2,0,Medium
73,3,1,0,277,1,0,0,Medium
95,61,1,1,394,2,0,0,Medium
31,13,1,1,145,1,1,0,Medium
60,17,0,1,67,2,1,0,Medium
74,14,1,0,333,1,2,1,Medium
27,143,1,0,386,1,1,1,Low
99,142,0,1,353,1,0,0,Medium
33,146,0,0,175,3,0,1,Medium
66,24,1,1,267,1,2,0,Medium
41,32,1,0,160,3,2,0,Medium
87,159,1,1,129,2,0,0,Medium
53,63,1,0,125,2,2,1,Low
20,52,0,1,429,1,2,0,Medium
93,56,0,0,235,3,0,0,Medium
69,151,1,1,328,3,0,1,Medium
25,61,0,0,141,2,1,1,Low
35,113,1,0,247,3,0,1,Medium
92,99,1,1,390,1,1,0,Medium
52,78,0,1,127,1,1,1,Medium
50,115,1,0,66,1,0,0,Low
90,50,1,1,342,1,2,1,Medium
20,154,0,1,138,3,0,0,Medium
33,72,0,0,40,2,2,0,Low
38,71,1,0,489,3,0,1,Medium
70,55,0,0,492,2,0,1,Medium
51,65,0,1,242,1,2,1,Medium
74,155,0,1,406,1,0,1,Medium
73,114,1,0,285,2,1,0,Medium
64,105,1,1,360,3,0,0,Medium
78,172,0,0,294,3,2,1,Medium
87,97,0,1,497,2,1,0,Medium
76,27,0,1,231,1,2,1,Medium
35,64,1,1,454,2,1,1,Medium
57,139,1,0,235,2,1,1,Medium
88,130,0,1,241,2,1,1,Medium
43,39,0,0,459,3,1,0,Medium
28,109,1,0,146,3,1,0,Medium
35,47,0,1,88,1,2,0,Medium
21,151,0,0,361,3,0,1,Medium
60,154,1,1,25,3,0,0,Medium
20,7,1,1,153,1,2,0,Medium
79,69,0,1,74,1,0,0,Medium
83,59,1,0,401,3,0,1,Medium
33,87,0,0,113,3,1,1,Medium
37,2,0,0,42,2,0,0,Low
95,119,0,1,316,2,1,1,Medium
77,108,1,1,360,3,0,1,Medium
35,173,0,0,472,3,0,1,Medium
73,49,1,0,472,1,0,0,Medium
49,22,0,1,450,1,0,0,Medium
90,173,1,1,272,1,0,0,Medium
38,116,0,1,267,1,1,1,Medium
90,79,0,0,327,2,1,0,Medium
72,167,1,1,213,1,1,1,Medium
53,30,1,0,296,3,1,0,Medium
72,46,1,1,126,3,2,0,Medium
34,95,0,1,260,2,1,0,Medium
79,51,1,0,314,1,0,0,Medium
27,164,1,1,203,1,0,1,Medium
20,19,0,1,355,1,2,0,Medium
52,26,1,0,31,2,2,1,Low
49,53,0,0,424,1,1,1,Low
81,42,0,0,170,1,2,1,Medium
91,80,0,0,218,1,2,1,Medium
37,3,0,0,448,1,1,0,Low
50,44,1,0,323,2,1,1,Low
28,166,0,0,328,1,2,1,Low
59,116,0,1,57,2,2,1,Medium
